,순번,위치,인물,스프라이트,대사 1,대사 2,대사 3
,1,왼쪽,케이,Kay_serious,"모두가 거짓된 평화에 익숙해진 지금,","세계를 구할 수 있는건 칼리번, 너와 나 뿐이야!",
,2,오른쪽,칼리번,Kay_serious,푸흥...,,
,3,왼쪽,케이,Kay_angry,...그런 김 빠지는 소리 하지마!,,
,4,왼쪽,케이,Kay_normal,하지만 너 말이 맞아.,우리 둘이서 마왕을 홀로 상대 하는 건 아주 바보같은 짓이야.,
,5,왼쪽,케이,Kay_serious,모험가들을 모아야돼!,하지만 아무 모험가는 안돼.,아주 엄격한 기준과 면접을 통해...
,6,오른쪽,성기사,Paladin,아직 멀리 가진 못하셨을 것이다!,공주님을 찾아라!,
,7,왼쪽,케이,Kay_embarrassed,헉...! 아바마마의 성기사단이다!,벌써 날 찾고 계신가봐!,하지만 절대 내 말을 믿지 않을 게 뻔해...
,8,왼쪽,케이,Kay_serious,"...에, 에잇! 이봐 거기 너!",,
,9,오른쪽,검사,Swordsman,...네? 저요?,,
,10,왼쪽,케이,Kay_serious,그래 애매하게 주인공처럼 생긴 너!,너 아까 길드 문 닫았다고 울고있던 모험가지?,
,11,오른쪽,검사,Swordsman,"아, 안울었거든요!",그리고 길드도 문 닫았으니 이제 모험가도 아니라구요.,
,12,왼쪽,케이,Kay_serious,"아무래도 됐고, 너",오늘 부터 용병해라.,
,13,오른쪽,검사,Swordsman,예? 용병이요?,,
,14,왼쪽,케이,Kay_happy,그래! 넌 이제 왕국의 공주가 인정한 왕실 용병이야! 축하해!,"자, 이제 저 성기사를 막아!",
,15,오른쪽,검사,Swordsman,와! 저 왕실에서 일해보는게 꿈이었어요!,"...잠깐, 누굴 막으라구요?",
,16,오른쪽,성기사,Paladin,공주님을 찾았다!,도망가시기 전에 잡아라!,
,17,왼쪽,케이,Kay_embarrassed,으앗...! 들켰다!,"아, 아무튼 넌 이제 내 용병이니까 어떻게든 아저씨를 막아!",
,18,오른쪽,검사,Swordsman,예?? 저건 왕국 성기사잖아요!,제가 절대로 이길 수 없다구요!,
,19,왼쪽,케이,Kay_serious,누가 너보고 성기사 아저씨를 쓰러트리래?,시간만이라도 벌라구!,
,20,오른쪽,성기사,Paladin,모험가들이여! 도망치는 공주님을 잡아라!,잡아오는 자에겐 포상을 주겠다!,
,21,오른쪽,도적,Thief,뭐? 포상??,안그래도 요즘 일도 없었는데 잘됐네!,
,22,오른쪽,검사,Swordsman,아이고!,괴팍한 공주한테 고용돼서 무의미하게 죽게 생겼네!!,
,23,왼쪽,케이,Kay_angry,"누가 괴팍하다는거야, 이 겁쟁이가!",...아무래도 현금을 좀 쥐어줘야 용병으로서의 자각이 좀 생기겠는걸.,
,24,왼쪽,케이,Kay_serious,야! 이거 받아!,,
,25,오른쪽,검사,Swordsman,와 돈이다!,누구냐! 우리 고용주... 아니 공주님을 위협하는 녀석들이!,
,26,왼쪽,케이,Kay_normal,"후후, 역시 돈만큼 동기부여가 되는 것이 또 없지.",,
,27,왼쪽,케이,Kay_serious,"좋아, 이 일 없는 불쌍한 모험가들아!",오늘 저녁도 굶기 싫으면 어느 편에 설지 잘 결정하라구!,
,28,왼쪽,케이,Kay_serious,"너희들을 구원할 수 있는 건 오직 나,",케이 공주님뿐이니까!!,
