,,,,,,,
,순번,위치,인물,스프라이트,대사 1,대사 2,대사 3
,1,오른쪽,엘프 궁수,ElfArcher,그만! 그 이상 다가오면 경고로 끝나진 않을 겁니다.,,
,2,왼쪽,케이,Kay_angry,경고는 무슨!,화살을 비처럼 쏟아내는게 무슨 경고야!,
,3,오른쪽,엘프 궁수,ElfArcher,아직도 말귀를 못알아 먹는 건가요?,우리가 당신들을 정말 헤칠 생각이었다면 진작에 쓰러트렸을 겁니다.,
,4,왼쪽,케이,Kay_angry,우린 싸우러 온게 아니라 위험을 알리러 왔다니까!,왜 다짜고짜 공격하는건데??,
,5,오른쪽,사슴 기사,DeerKnight,우리에겐 너희 인간들이 숲에 침입하는 것이 가장 큰 위험이기 때문이지.,,
,6,오른쪽,엘프 궁수,ElfArcher,"단, 단장님!",,
,7,왼쪽,케이,Kay_serious,단장? 너가 요정 숲의 기사단 단장인가 보구나!,우릴 요정 숲 여왕에게로 데려다 줘!,여왕에게 전해야 할 이야기가
,8,오른쪽,사슴 기사,DeerKnight,어이가 없군.,이 요정 숲에 더러운 인간의 발자국을 남긴 것도 모자라 뻔뻔하게 요구를 해오다니.,너의 무례함을 내가 직접 벌해야겠구나.
,9,오른쪽,엘프 궁수,ElfArcher,"단장님, 여왕님은 이들을 죽이는 것을 원치 않으셨습니다.",이대로 좋게 돌려보내는 것이...,
,10,오른쪽,사슴 기사,DeerKnight,그건 너의 역할이었지.,이들이 이 자리까지 도달한건 너의 무능함 때문 아닌가?,
,11,오른쪽,엘프 궁수,ElfArcher,...죄송합니다.,,
,12,왼쪽,케이,Kay_angry,듣자 듣자 하니까 못하는 말이 없네!,부하의 책임은 곧 상관의 책임 아니야?,
,13,왼쪽,케이,Kay_angry,최선을 다하는 부하에게 무능하다고 하는 아저씨가 제일 무능해!,,
,14,왼쪽,검사,Swordsman,...그럼 우리가 위험에 빠진 것도 공주님 책ㅇ,,
,15,왼쪽,케이,Kay_serious,됐고! 좋게 말로 하려고 했지만 안되겠어.,사슴 아저씨는 우리한테 혼 좀 나야겠다!,
,16,오른쪽,사슴 기사,DeerKnight,...사슴 아저씨?,,
,17,오른쪽,엘프 궁수,ElfArcher,푸흑-,,
,18,오른쪽,사슴 기사,DeerKnight,...잘됐군.,모든 더러운 것들로부터 숲을 지키는 것이 사슴 기사의 사명.,
,19,오른쪽,사슴 기사,DeerKnight,오늘 너희들의 목을 베어 침입자들에게 좋은 본보기를 삼아야겠다.,그 자리에서 죽어라.,
