,,,,,,,
,순번,위치,인물,스프라이트,대사 1,대사 2,대사 3
,1,오른쪽,수확자,Reaper,말도 안돼...,말도 안돼!!,
,2,오른쪽,수확자,Reaper,이 세계에서 나에게 닿을 수 있는 물체 따위는 없을텐데!,"너 이자식, 정체가 뭐야!",
,3,왼쪽,케이,Kay_happy,"뭐긴 뭐야, 널 줘 팬 사람이지.",아직 상황 파악을 못해?,더 맞아볼래?
,4,오른쪽,수확자,Reaper,크윽...,"그, 그 검은 대체 어디서 난거냐...",어떻게 이차원의 존재인 나에게 닿을 수 있는거지?
,5,왼쪽,케이,Kay_normal,응? 이거?,우리 왕국 동굴에 꽃혀있던 영웅검의 모조품인데.,
,6,오른쪽,수확자,Reaper,뭐? 영웅검? 모조품??,그럴리가 없어!,
,7,왼쪽,케이,Kay_angry,그럴리가 없기는 뭐가 없어.,시끄러우니까 소리 그만 지르고 설명을 해봐.,
,8,오른쪽,수확자,Reaper,...이 세상의 존재가 아닌 나에게 닿을 수 있는건 이 세상에 없다.,그러니까 그 검도 이 세상의 것이 아니라는 뜻이지.,
,9,왼쪽,케이,Kay_embarrassed,그렇다는 건 내가 부러트린 이 검이 모조품이 아니라...,진짜 영웅검이라고?,
,10,왼쪽,성기사,Paladin,"영웅왕 맙소사, 설마 했더니 공주님 그 귀한걸 잘도 부러트리셨군요.",,
,11,왼쪽,케이,Kay_embarrassed,아니 그럴리가! 그냥 휘두르려 했더니 뚝하고 부러졌단 말이야!,,
,12,왼쪽,마법사,Wizard,왜 바위에 꽃혀있는걸 뽑지 않고 휘두르려고 해요?,,
,13,왼쪽,케이,Kay_embarrassed,"그, 급했으니까!",급하지 않았다면 그랬겠나!,아니 애초에 아무에게나 뽑힐 무기가 아니니까 뽑아 쓸 생각을 못했지!
,14,왼쪽,성기사,Paladin,...아무튼 영웅검은 단순한 무기가 아닙니다.,영웅을 알아보는 전설의 무기이기 때문에,공주님이 그 검을 부러트린 것도 뭔가 이유가 있을 거에요.
,15,왼쪽,케이,Kay_embarrassed,그런... 거겠지?,그러고 보니 그 때 뭔가 비명 소리가 겹쳐 들린 것 같기도 하고...,
,16,오른쪽,수확자,Reaper,...너가 검이 선택한 새로운 영웅이란 말이지.,그래. 나를 쓰러트리려면 그 정도는 되어야지.,
,17,오른쪽,수확자,Reaper,공주여. 넌 나를 벨 자격이 있다.,그 검으로 나를 끝내고 수확의 종지부를 찍어라.,
,18,왼쪽,케이,Kay_serious,어... 널 베면 이 저주가 끝나려나?,,
,19,오른쪽,수확자,Reaper,"글쎄, 모르지. 저주를 일으킨건 고대 마법사의 마법이지 내가 아니거든.",하지만 내가 탄생하며 죽은 인간들에 대한 복수는 되겠지.,
,20,왼쪽,케이,Kay_normal,...그럼 안할래.,,
,21,왼쪽,마법사,Wizard,공주님 진짜 미쳤어요?,,
,22,오른쪽,수확자,Reaper,왜 그런 짓을?,,
,23,왼쪽,케이,Kay_normal,너가 직접 저주를 퍼트리는게 아니라면 널 죽여봤자 해결되는 것은 아무것도 없잖아.,그리고 나는 복수를 위해 왕국을 나온게 아니야.,
,24,왼쪽,케이,Kay_serious,난 무의미한 죽음을 막기 위해 왔어.,그러니까 너가 불필요한 살생을 그만둔다고 약속하면 더 이상 너에게 관여하지 않겠어!,
,25,왼쪽,마법사,Wizard,...이것도 중대한 역사(바보 짓)의 한 순간이 되겠네요.,,
,26,오른쪽,수확자,Reaper,후후후... 정말 겁이 없는 소녀로구나.,나를 살려둔다면 무슨 끔찍한 일이 벌어질지 모르는데.,
,27,왼쪽,케이,Kay_normal,내가 오기 전까지도 요정 숲 좀 귀찮게 하는 것 말고는 별 하는 일도 없었잖아.,오히려 본의 아니게 마왕군의 진입을 막았을 지도 모르지.,
,28,왼쪽,케이,Kay_happy,그러니까 요정 숲 좀 귀찮게 하지 말고 살던 대로 살고 있으라구.,내가 마왕군이 이 곳을 침략하는 걸 막아줄 테니까!,
,29,오른쪽,수확자,,흠... 좋다. 거래를 받아들이도록 하지.,"단, 한가지 조건이 있다.",
,30,왼쪽,케이,,아놔 조건 같은 소리 하고 있네.,이 아줌마가 아직 상황 파악을...,
,31,오른쪽,수확자,,너의 여정에 우리 군단이 함께 하도록 하지.,,
,32,왼쪽,성기사,,아 진짜 그러지 마라...,나 폐하한테 진짜 혼나...,
,33,왼쪽,케이,,...이유는?,,
,34,오른쪽,수확자,,난 고대의 마법으로 이 땅에 태어난 후 단 한번도 이 자리를 벗어난 적이 없다.,날 쓰러트릴 영웅이 나타나길 기다리는 수밖에 없었지.,
,35,오른쪽,수확자,,그러니 너가 진정한 영웅으로 거듭나는 것을 내 눈으로 봐야겠다.,나를 이긴 영웅이 하찮은 적에게 죽어버리진 않는지 말이야.,
,36,왼쪽,케이,,하! 애써 악당처럼 말하고 있지만 제법 인간적인 면이 있구나!,"좋아, 받아주지! 넌 오늘부터 내 용병이야!",
,37,오른쪽,수확자,,...나에게 돈은 의미 없지만 나쁘지 않군.,좋은 수집품으로 모아두지.,
,38,오른쪽,수확자,,이제 저주가 너희를 완전히 삼키기 전에 떠나자고.,마왕의 성으로.,
