빨간색 순번은 인물과 스프라이트가 다른 경우,,,,,,,
,순번,위치,인물,스프라이트,대사 1,대사 2,대사 3
,1,오른쪽,용기사,General_embarassed,...이럴 수가.,,
,2,왼쪽,케이,Kay_serious,으으윽...,모두 괜찮아...?,
,3,왼쪽,검사,Swordsman,모두 괜찮습니다...,공주님은...?,
,4,왼쪽,케이,Kay_serious,...괜찮아!,이 정도로는 아무렇지 않아!,
,5,오른쪽,용기사,General_embarassed,아직 불완전하긴 하지만 나의 전력을 쏟아 부었는데도,버텨내다니.,
,6,오른쪽,용기사,General_normal,...어쩌면 우리의 분노가 예전만 하지 못한건가?,,
,7,왼쪽,케이,Kay_angry,어이! 이제와서 '적당히 봐줬다' 같은 스탠스는 통하지 않아!,우린 아직 더 싸울 수 있으니까!,
,8,왼쪽,성기사,Paladin,...왕국의 기사는 악에게 쓰러지지 않는다!,,
,9,왼쪽,엘프 궁수,ElfArcher,화살이라면 당신 모두에게 박아 줄 만큼 충분히 남았습니다.,,
,10,왼쪽,수확자,Reaper,난 누가 죽어도 상관 없지만...,공주는 죽게 두지 않기로 약속해서 말이지.,
,11,오른쪽,용기사,General_happy,...하하하하!!,아주 웃기는 오합지졸 군대로군.,
,12,왼쪽,케이,Kay_serious,오합지졸 같은 소리 하고 있네.,오합지졸한테 한번 더 차여 볼래?,
,13,오른쪽,용기사,General_normal,...마왕님은 거짓 항복따위를 하실 분이 아니야.,"마왕군에 있는 모든 마물은 속임수 같은 얄팍한 짓은 하지도, 할 수도 없지.",
,14,왼쪽,케이,Kay_angry,그게 무슨 웃기는 소리야?,내가 너희 암살자가 마왕의 항복이 거짓이라고 하는 걸 똑똑히 들었다고!,
,15,오른쪽,용기사,General_embarassed,암살자? 거짓? 무슨 뜻인지 모르겠군.,우린 거짓말로 누굴 속이는 존재들이 아니야.,
,16,오른쪽,용기사,General_normal,우리의 모든 행동과 의지는 마왕님의 의지를 대변할 뿐이다.,서로를 죽이고 잡아먹는 본능 밖에 없던 우리 마물들을 통합한 것이 마왕님이었지.,"마왕님도, 우리 마왕군도 암살 같은 술수는 절대 사용하지 않아."
,17,왼쪽,마법사,Wizard,무슨 말을 하려는 건지 모르겠군요.,당신 말대로 당신들이 폭력밖에 모르는 괴물들이라면 더더욱 평화 협정 같은건 불가능하잖아요!,
,18,오른쪽,용기사,General_embarassed,...우리도 영문을 모르겠다.,인간 문명을 몰락시키고 마물들의 세상을 만든다는 마왕님의 강한 의지가,어느 순간 흔들리더니 갑작스럽게 평화를 선언하셨어.
,19,오른쪽,용기사,General_normal,이에 많은 마물들이 반기를 들고 갈라섰고 얼마 뒤 마왕님도 자취를 감추셨다.,지금 이곳엔 그분의 빈자리를 지키고 있는 우리 뿐이야.,...이것이 내가 말할 수 있는 진실이야.
,20,왼쪽,케이,Kay_angry,이이익...! 무슨 소린지 잘 모르겠지만 앞뒤가 맞지 않잖아!,난 분명 화창한 대낮에 고블린한테 암살당할 뻔 했다고!,그 암살자가 거짓말을 했던지 너가 거짓말 중인 거잖아!
,21,오른쪽,용기사,General_normal,...믿지 못한다고 해도 어쩔수 없다.,내가 말할 수 있는 건 우리는 그 어떤 전쟁도 준비하고 있지 않았다는 것이다.,이제 모든 걸 말했으니 날 죽이고 왕국으로 돌아가라.
,22,오른쪽,용기사,Minotaur,"자, 장군님...!!",,
,23,왼쪽,성기사,Paladin,...확실히 이상하긴 합니다.,"모두가 잠든 밤도 아니고 하필 대낮에, 공주님이 영웅검을 마주하고 있을 때 암살을 시도하다니.",마치 공주님을 암살하는 것이 주 목적이 아닌 것 같기도 합니다.
,24,왼쪽,수확자,Reaper,마왕성도 생각했던 것보다 너무 허술하긴 해.,"난 또, 잔뜩 모인 마물들로 제대로 포식하나 싶었는데",여긴 기껏해야 주둔군 수준의 마물들밖에 없잖아?
,25,왼쪽,케이,Kay_angry,...이익! 그럼 그 암살자는 대체 뭐냔 말이야!,난 분명 똑똑히 봤단 말이야!!,
,26,왼쪽,검사,Swordsman,"...흔들리면 안돼요, 공주님!","마왕이 아니더라도 분명 다른 누군가가 공주님을 이용하기 위해
암살자를 보낸걸 거예요!",
,27,왼쪽,케이,Kay_embarrassed,"여, 역시 그렇겠지!",하지만 마왕이 아니라면... 대체 누가 그런 짓을 한거지?,대체 왜??
,28,왼쪽,마법사,Wizard,...가장 가능성이 높은 건 마왕의 항복에 반기를 들고 갈라선 마왕군이겠군요.,마왕과는 다르게 우리와의 전쟁을 지속하려는 자들일 테니까요.,
,29,왼쪽,마법사,Wizard,마왕이 갑작스럽게 항복을 제안한 것도 모자라 갑자기 사라졌더랬죠?,이전에도 이런 적이 있었나요?,
,30,오른쪽,용기사,General_normal,없지. 그 분은 인간을 향한 증오로 가득한 분이였어.,우리 중 그 누구도 마왕님이 이런 행동을 하실거라고 상상할 수 없었다.,
,31,왼쪽,마법사,Wizard,그럼 이것 하나는 확실하네요.,그 암살자가 마왕이 아닌 다른 세력으로부터 왔다는 것.,그리고 마왕이 갑자기 태도를 바꾼 원인이 있다는 것.
,32,오른쪽,용기사,General_normal,...그렇게 생각할 수밖에 없겠군.,,
,33,왼쪽,케이,Kay_normal,...그렇다는건 대륙이 전쟁의 위기에 빠진 상태라는 건 변함 없는 거지?? ,,
,34,왼쪽,검사,Swordsman,...왜 기뻐보이시는 것 같죠?,,
,35,왼쪽,케이,Kay_embarrassed,"아니, 그냥 이대로 왕국으로 돌아갔다간 나 정말",동네방네 깽판치고 돌아온 정신 나간 공주로 남을 거 아니야...!,
