,,,,,,,,,,,,,,
,순번,내용,일시 정지 여부,대사 여부,상세,진행 조건,클릭 외 조건,Column 15,위치,인물,스프라이트,대사 1,대사 2,대사 3
,1,용병 모집,X,X,전투 입장 후 1초 정도 대기하여 자연스러운 연출 전달,1초 대기,TRUE,대기,,,,,,
,2,용병 모집,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_happy,드디어 첫 전투다!,가슴이 두근거리는데?,
,3,용병 모집,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_normal,하지만 내가 아무리 짱 쎄다고 해도,공주가 되어서 혼자 전투를 치를 순 없지.,
,4,용병 모집,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_serious,모집이 시작되면 *지원한 용병 중 하나를 골라 전투에 사용할 용병으로 모집할 수 있어.*,검사가 딴마음 먹기 전에 얼른 용병으로 모집하자!,
,5,용병 모집,X,X,"용병 모집 화면에서 검사 이력서를 강조, 나머지는 어둡게 되며 선택 X (검사, 도적, 엘프 궁수 순으로 모집 등장 고정)",검사 용병 선택,FALSE,,,,,,,
,6,용병 모집,X,X,"선택 버튼 강조, 느낌표 추가",선택 버튼 클릭,FALSE,,,,,,,
,7,용병 고용,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_normal,이제 검사는 정식으로 우리 용병단의 일원이야!,"신병, 준비는 됐어?",
,8,용병 고용,O,O,,컷씬 진행,FALSE,,왼쪽,검사,Swordsman,제대로 검을 휘두르는 건 너무 오랜만이지만…,전 항상 이 날을 위해 준비되어 있었습니다!,
,9,용병 고용,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_happy,좋아! 바로 그 자세야!,이제야 좀 모험가 티가 나는걸!,
,10,용병 고용,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_normal,*충분한 골드가 모이면 검사를 고용*해 전투에 출전시키자.,*골드는 우리 요새에서 자동으로 생산*될 거야!,
,11,용병 고용,X,X,"100 골드가 모일 때까지 대기, 조작 X",100 골드 이상 확보,TRUE,골드 확보,,,,,,
,12,용병 고용,O,X,"검사 아이콘 강조, 대상을 가리키는 느낌표 추가",검사 고용,FALSE,,,,,,,
,13,요새 레벨업,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_happy,"가라, 나의 충성스러운 용병이여!",이 케이 공주를 위해 목숨을 바쳐라!,
,14,요새 레벨업,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_normal,하지만 역시 용병 하나로는 몰려오는 적들을 막을 수는 없을 거야.,,
,15,요새 레벨업,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_serious,더 많은 골드! 더 많은 용병이 필요해!,*요새의 레벨을 올려 수익을 늘리자!*,
,16,요새 레벨업,X,X,"50 골드가 모일 때까지 대기, 조작 X",50 골드 이상 확보 ,TRUE,골드 확보,,,,,,
,17,요새 레벨업,O,X,요새 레벨업 버튼 강조,2 레벨로 요새 레벨업,FALSE,,,,,,,
,18,영웅 조종,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_normal,앞으로 더 많고 강한 적과 상대하게 될 테니,*돈이 모이는 대로 요새를 레벨업시켜 생명력과 수익을 높이자!*,
,19,영웅 조종,,,,컷씬 진행,FALSE,,왼쪽,케이,Kay_serious,물론 우리의 적들은 우리가 여유롭게 요새 레벨업을 하는 것을 기다리고 있진 않을 거야.,결국엔 이 몸이 나설 수 밖에 없을 거라구!,
,20,영웅 조종,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_happy,나는 *이동하지 않을 때 자동으로 적을 공격*할 수 있어.,우아한 나의 검술을 잘 봐두라구!,
,21,영웅 조종,X,X,"영웅 조종 가능, 용병 고용 가능, 영웅 이동 버튼 강조 (만약을 위해 플레이어 요새는 무적)",웨이브 2의 용병 모집 화면 활성화,TRUE,오브젝트 활성화,,,,,,
,22,웨이브,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_happy,두 번째 웨이브가 시작됐어!,,
,23,웨이브,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_normal,*전투 중 일정 시간이 지나거나 적 요새에 충분한 피해를 주면 다음 웨이브로 넘어가게 돼.*,,
,24,웨이브,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_serious,*웨이브는 총 세 개*로 나뉘며 *다음 웨이브로 넘어갈 때마다 더 비싸고 강력한 유닛을 모집*할 수 있어.,하지만 *적들도 더 강해지니* 긴장을 풀어선 안되겠지!,
,25,웨이브,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_happy,*적의 요새를 파괴하면 우리의 승리야!*,"*우리의 요새가 파괴되거나 너무 많은 시간을 소모하면 전투에서 패배*하니,",그 전까지 적의 요새를 향해 계속해서 나아가자!
,26,보스,X,X,"영웅 조종 가능, 용병 고용 가능 (만약을 위해 플레이어 요새는 무적)",보스 등장,FALSE,,,,,,,
,27,보스,X,X,보스 등장 후 보스에게 시점이 이동되며 1초간 대기,1초 대기,TRUE,대기,,,,,,
,28,보스,O,O,,컷씬 진행,FALSE,,오른쪽,도적,Thief,"쳇, 이렇게 물러설 순 없지! 가라!","우리 도적단의 숨겨진 비기, 거대 슬라임 '뽀글이'!",
,29,보스,O,O,,컷씬 진행,FALSE,,오른쪽,슬라임,Slime,"뽀글, 뽀글.",,
,30,보스,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_embarrassed,세상에… 슬라임한테 뭘 먹이면 저렇게 커지는 거야??,"그보다, 왜 도적단이 슬라임을 부리는 거야!",
,31,보스,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_normal,아무래도 전투가 막바지에 다다르면 *강력한 보스가 나타나서* 우릴 가로막는 모양이야.,미리미리 대비를 해두는 편이 좋겠어!,
,32,스킬,O,O,,컷씬 진행,FALSE,,왼쪽,검사,Swordsman,으아아! 저 커다란 게 다가오고 있어요!,검을 휘두르기도 전에 뭉개질 거예요!!,
,33,스킬,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_serious,걱정 마! 우리에게도 비장의 수가 있어!,"우리 왕국의 보물, 영웅검(부러트림)과 왕실 방패(몰래 가져옴)!!",
,34,스킬,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_serious,두 종류의 스킬을 적절히 사용해서 전투를 유리하게 이끌 수 있을 거야!,,
,35,스킬,X,X,"모든 조작 가능, 스킬 버튼 강조",보스 처치,TRUE,오브젝트 활성화,,,,,,
,36,스킬,X,X,1초간 대기,1초 대기,TRUE,대기,,,,,,
,37,전투 종료,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_happy,좋아! 적의 보스까지 쓰러트렸어!,이제 이대로 적 요새까지 진격이다!,
,38,전투 종료,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_normal,*전투 속도가 느리게 느껴지면 오른쪽 상단의 '배속 버튼'을 눌러 전투를 빠르게 진행할 수 있어.*,껏다 킬 수 있으니 언제든 눌러보자!,
,39,전투 종료,X,X,모든 조작 가능,전투 결과 화면 등장,TRUE,오브젝트 활성화,,,,,,
,40,전투 종료,X,X,전투 결과 화면 등장 후 1초간 대기,1초 대기,TRUE,대기,,,,,,
,41,전투 종료,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_happy,해냈어! 공주 용병단의 영광스러운 첫 승리야!,전투를 끝내고 나니 뭔지 모를 힘이 느껴지는 걸?,
,42,전투 종료,O,O,,컷씬 진행,FALSE,,왼쪽,케이,Kay_happy,이 기세를 몰아서 다음 전투를 시작하자!,,
