,,,,,,,,,,,,,,,
,순번,내용,일시 정지 여부,대사 여부,상세,진행 조건,Column 15,Column 15,위치,표정,인물,스프라이트,대사 1,대사 2,대사 3
,1,용병 아이템,X,X,"용병 모집이 시작될 때까지 대기 (시체 박쥐, 슬라임, 도적 순으로 등장 고정), 슬라임이 '참나무 방패' 아이템 보유",용병 모집 시작,FALSE,,,,,,,,
,2,용병 아이템,O,O,,컷씬 진행,FALSE,,왼쪽,일반,케이,케이,"어라? 저 슬라임, 뭔가 들고 있는데?",,
,3,용병 아이템,O,O,,컷씬 진행,FALSE,,왼쪽,행복,케이,케이,이건… 값진 아이템이잖아!,빼앗아서 용병단 자금에 보태볼까?,
,4,용병 아이템,O,O,,컷씬 진행,FALSE,,왼쪽,,슬라임,슬라임,뽀… 뽀글….,,
,5,용병 아이템,O,O,,컷씬 진행,FALSE,,왼쪽,행복,케이,케이,"헤헤, 농담이야, 슬라임 친구!",우린 저 도적단과 달리 노동법이라는 걸 지킨다구.,
,6,용병 아이템,O,O,,컷씬 진행,FALSE,,왼쪽,비장,케이,케이,"어쨋든 이런 좋은 인재를 놓칠 순 없지,",어서 빨리 저 슬라임을 용병단에 추가하자!,
,7,용병 아이템,X,X,"슬라임 강조, 느낌표 추가",슬라임 클릭,FALSE,,,,,,,,
,8,용병 아이템,X,X,"확정 버튼 강조, 느낌표 추가",슬라임 모집 완료,FALSE,,,,,,,,
,9,용병 아이템,O,O,,컷씬 진행,FALSE,,왼쪽,행복,케이,케이,이제 이 소유욕 강한 슬라임은 우리 용병이야!,이런 *아이템을 들고 등장하는 용병*들은 꽤나 도움이 될 거야.,앞으로도 이런 용병들을 잘 찾아보자!
,10,용병 능력치 상세,O,O,,컷씬 진행,FALSE,,왼쪽,일반,케이,케이,그럼 어디 새로 영입한 용병의 활약을 구경해 볼까?,,
,11,용병 능력치 상세,X,X,"자율 전투 진행, 웨이브 2 용병 모집 시작 시 골렘, 마검사, 불타는 해골 순으로 등장",웨이브 2 용병 모집 화면 활성화,TRUE,오브젝트 활성화,,,,,,,
,12,용병 능력치 상세,O,O,,컷씬 진행,FALSE,,오른쪽,,도적 두목,도적,"어이, 공주 아가씨! 우리 구역에서 날 뛰는 것도 여기 까지야.",이 몸이 직접 나섰으니까 말이야.,순순히 우리의 포로가 되라구!
,13,용병 능력치 상세,O,O,,컷씬 진행,FALSE,,왼쪽,버럭,케이,케이,뭐라구!!,도적 주제에 이 몸에게 못하는 말이 없구나!!,
,14,용병 능력치 상세,O,O,,컷씬 진행,FALSE,,왼쪽,비장,케이,케이,분하지만 도적단의 두목이라면 쉽지 않은 적이 될 거야.,우리도 그에 걸맞은 인재를 채용해야겠어.,
,15,용병 능력치 상세,O,O,,컷씬 진행,FALSE,,왼쪽,일반,케이,케이,이번엔 지원한 용병의 능력치를 자세히 확인해보자.,"*용병을 선택한 후, 상세 능력치 확인 버튼을 누르면 능력치를 자세하게 볼 수 있어.*",
,16,용병 능력치 상세,X,X,"골렘 기본 카드 강조, 느낌표 추가",골렘 기본 카드 클릭,FALSE,,,,,,,,
,17,용병 능력치 상세,X,X,"상세 확인 버튼 강조, 느낌표 추가",상세 확인 버튼 클릭,FALSE,,,,,,,,
,18,용병 능력치 상세,X,X,상세 카드 등장 후 1초 대기,1초 대기,TRUE,대기,,,,,,,
,19,용병 상성,O,O,,컷씬 진행,FALSE,,왼쪽,행복,케이,케이,오오! 이 순둥해 보이는 녀석은 평생 돌만 씹어 먹었는지 엄청 높은 방어도를 지니고 있네!,,
,20,용병 상성,O,O,,컷씬 진행,FALSE,,왼쪽,일반,케이,케이,*방어도를 가진 유닛들은 자신이 받는 피해를 자신의 방어도 만큼 감소시킬 수 있어.*,도적처럼 빠르게 많은 공격을 가하는 유닛을 상대로 더욱 강한 모습을 보이지!,
,21,용병 상성,O,O,,컷씬 진행,FALSE,,왼쪽,일반,케이,케이,*이렇듯 유닛마다 자신의 강점과 약점을 지니고 있어.*,이 녀석에 경우 몸은 튼튼하지만 엄청나게 느리다는 단점이 있네.,
,22,용병 상성,O,O,,컷씬 진행,FALSE,,왼쪽,행복,케이,케이,*전투를 시작하기 전에 월드맵에서 전투에서 등장하는 적 유닛의 능력치를 확인할 수 있어.*,처음 보는 유닛의 경우 미리 능력치를 확인해 두는 게 좋겠지.,그래야 전투를 유리하게 이끌 전략을 세울 수 있을 테니까!
,23,용병 상성,O,O,,컷씬 진행,FALSE,,왼쪽,비장,케이,케이,"자, 그럼 이 골렘을 이용해 저 무례한 도적놈들의 궁둥이를 때려 주자고!",괘씸죄로 돈도 좀 뜯고 말이야!,
,24,용병 상성,X,X,"골렘을 제외한 나머지 용병 비활성화, 골렘 카드 강조",골렘 모집 완료,FALSE,,,,,,,,
