,,,,,,,,,,,,,,,
,1열,2열,3열,4열,5열,6열,7열,8열,9열,10열,11열,12열,13열,14열,15열
,1,식사,O,O,,컷씬 진행,,,왼쪽,행복,케이,케이,휴우! 어떻게든 성기사 아저씨를 설득(물리)했으니 ,이제서야 본격적인 모험을 시작할 수 있겠네.,
,2,식사,O,O,,컷씬 진행,,,오른쪽,,칼리번,칼리번,히히힝...,,
,3,식사,O,O,,컷씬 진행,,,왼쪽,버럭,케이,케이,"응? 그게 무슨 소리야, 칼리번!",당연히 우리의 모험은 계속 되어야지!,벌써 포기할 생각인 건 아니지?
,4,식사,O,O,,컷씬 진행,,,오른쪽,,마법사,마법사,"아뇨, 제 생각엔 칼리번이 하려는 말은",앞으로 더 많은 싸움을 이어가기 위해선 충분한 휴식도 필요하다'는 말인 것 같아요.,
,5,식사,O,O,,컷씬 진행,,,왼쪽,당황,케이,케이,오 그렇구나....,잠깐! 너 칼리번이 하는 얘기를 알아들어?,
,6,식사,O,O,,컷씬 진행,,,오른쪽,,마법사,마법사,전 다양한 지식을 탐구하는 마법사니까요.,"그보다, 공주님도 칼리번이랑 대화하는 것 아니었어요?",
,7,식사,O,O,,컷씬 진행,,,왼쪽,일반,케이,케이,대화는 하지.,근데 나는 그냥 눈치로 때려 마추는 건데.,
,8,식사,O,O,,컷씬 진행,,,오른쪽,,마법사,마법사,... 아무튼 칼리번의 말도 일리가 있어요.,왕국을 벗어나면 앞으로의 전투는 더욱 험난해질 것이 분명해요.,
,9,식사,O,O,,컷씬 진행,,,오른쪽,,마법사,마법사,"이제부턴 *각 전투에 입장하기 전에, 식사를 먼저 하는 것*을 추천드려요.",제가 버튼을 표시해 둘게요.,
,10,식사,O,O,,컷씬 진행,,,오른쪽,,마법사,마법사,*식사를 하면 강력한 효과를 얻어 다음 전투를 더욱 유리하게 이끌 수 있을 거예요.*,용병들에게 충분한 휴식과 영양분을 제공해 줄 테니까요.,
,11,식사,O,O,,컷씬 진행,,,왼쪽,행복,케이,케이,오오! 아주 좋은 생각인걸!,그런데 요리를 위해선 식재료를 구해야 하는데 어떻게 구하지?,
,12,식사,O,O,,컷씬 진행,,,오른쪽,,마법사,마법사,현지의 *광고를 시청*하는 것으로 재료를 구할 수 있을 거예요.,또는 *약간의 현금을 통해 무제한 공급 계약*을 체결해서,*광고를 제거*하고 제한없이 식사를 하는 것도 방법이예요.
,13,단계별 해금,O,O,,컷씬 진행,,,오른쪽,,마법사,마법사,"각 식사 때마다 제작할 수 있는 요리가 다를 테니,",각 요리의 효과를 잘 비교해서 골라보세요.,
,14,단계별 해금,O,O,,컷씬 진행,FALSE,,왼쪽,행복,케이,케이,후아~ 용병단을 잘 이끄려면 정말 많은 방법이 필요하구나!,,
,15,단계별 해금,O,O,,컷씬 진행,FALSE,,오른쪽,,성기사,성기사,"그렇습니다, 공주님.",다수의 인원을 이끈다는 것은 많은 생각과 힘을 필요로 합니다.,설마 벌써 지치는 건 아니시겠죠?
,16,단계별 해금,O,O,,컷씬 진행,FALSE,,왼쪽,비장,케이,케이,"후후후! 나를 아직도 애기로 보는 거야, 아저씨?",나는 어엿한 용병단의 수장이라구!,앞으로 더욱 강해질 일만 남았는걸!
,17,단계별 해금,O,O,,컷씬 진행,FALSE,,오른쪽,,성기사,성기사,"하하, 좋습니다.",저도 공주님이 더욱 성장하며 진정한 지도자로 거듭나게 될 것이라 믿습니다.,
,18,단계별 해금,O,O,,컷씬 진행,FALSE,,오른쪽,,성기사,성기사,전투를 이어가다 보면 *지금처럼 새로운 기능을 해금하게 되실 겁니다.*,"그때마다 새로운 기능을 강조되도록 표시해 둘 테니, 잊지 마시고 확인하시기 바랍니다.","분명, 공주님의 성장과 전투에 도움이 될 것이니까요."
,19,단계별 해금,O,O,,컷씬 진행,FALSE,,왼쪽,행복,케이,케이,오오! 아저씨도 이제 본격적으로 나를 인정해주는 거야?,역시 아저씨가 보기에도 내가 좀 영웅스럽지?,
,20,단계별 해금,O,O,,컷씬 진행,FALSE,,오른쪽,,성기사,성기사,"아뇨, 이런 당연한 거라도 알려드리지 않으면",왕국에서 벗어나자 마자 사고라도 당하실까 걱정돼서 드리는 말씀입니다.,
,21,단계별 해금,O,O,,컷씬 진행,FALSE,,왼쪽,음침,케이,케이,... 아저씨는 내가 왕이 되면 바로 은퇴할 준비 해야겠다.,,
,22,단계별 해금,O,O,,컷씬 진행,FALSE,,오른쪽,,성기사,성기사,"하하, 그날까지 공주님이 무사하시도록 공주님을 지켜야 겠군요.",,
,23,단계별 해금,O,O,,컷씬 진행,FALSE,,오른쪽,,마법사,마법사,... 벌써부터 앞길이 막막해 지는군요.,,
