,,,,,,,,,,,,,,,
,순번,내용,일시 정지 여부,대사 여부,상세,진행 조건,클릭 외 조건,Column 15,위치,표정,인물,스프라이트,대사 1,대사 2,대사 3
,1,스타 획득,O,O,,컷씬 진행,FALSE,,왼쪽,행복,케이,케이,전투를 성공적으로 이겼으니 지도에 표시를 해둬야겠지?,우린 이걸 *스타*라고 부를 거야!,
,2,스타 획득,O,O,,컷씬 진행,FALSE,,왼쪽,일반,케이,케이,*더 빠른 시간 내에 전투를 끝낼수록 더 높은 등급의 스타를 얻을 수 있어.*,한번 이전 전투의 기록을 확인해 보자.,
,3,스타 획득,X,X,중앙 왕국 지역 강조,지역 선택,FALSE,,,,,,,,
,3,스타 획득,X,X,1-2 던전 강조,던전 선택,FALSE,,,,,,,,
,3,스타 획득,X,X,2초 대기,대기,TRUE,대기,,,,,,,
,3,스타 획득,O,O,,컷씬 진행,FALSE,,왼쪽,일반,케이,케이,방금의 전투에서 얻은 스타 기록이 보이지?,원한다면 다시 전투를 플레이하며 더 높은 기록을 노려볼 수 있어.,
,4,소울 획득,O,O,,컷씬 진행,FALSE,,왼쪽,행복,케이,케이,*스타 기록의 등급이 더 높을수록 더 많은 스타 재화를 얻게 돼!*,스타 재화는 나중에 우리 용병단을 성장시키는 데에 유용하게 써먹을 수 있을 거야.,
,5,영웅 업그레이드,O,O,,컷씬 진행,FALSE,,왼쪽,일반,케이,케이,그러고 보니 아까 전투로 얻은 자원이 있었지?,이건 *소울*이라고 부르는 일종의 경험치야.,
,6,영웅 업그레이드,O,O,,컷씬 진행,FALSE,,왼쪽,일반,케이,케이,이번엔 소울을 소모해 나의 전투 능력을 업그레이드시켜 보자!,업그레이드는 언제든지 초기화할 수 있으니 망설이지 말고!,
,7,영웅 업그레이드,X,X,"영웅 업그레이드 아이콘 강조, 느낌표 추가",영웅 업그레이드 화면 표시,FALSE,,,,,,,,
,8,영웅 업그레이드,X,X,"모든 능력치 버튼 강조, 느낌표 추가",아무 능력치 버튼 클릭,FALSE,,,,,,,,
,9,영웅 업그레이드,X,X,"확정 버튼 강조, 느낌표 추가",확정 버튼 클릭,FALSE,,,,,,,,
,10,영웅 업그레이드,O,O,,컷씬 진행,FALSE,,왼쪽,행복,케이,케이,우와! 엄청나게... 는 아니지만 아무튼 강해지는 게 느껴져!,이렇게 계속 강해진다면 마왕이고 뭐고 다 패버릴 수 있겠는걸?,
,11,영웅 업그레이드,O,O,,컷씬 진행,FALSE,,왼쪽,비장,케이,케이,하지만 *업그레이드한 능력치는 다음 업그레이드에 더 많은 소울을 필요*로 하는 모양이야.,이왕이면 다양한 능력치를 조금씩 성장시키는 게 좋을지도?,
,12,영웅 업그레이드,O,O,,컷씬 진행,FALSE,,왼쪽,일반,케이,케이,*업그레이드는 언제든 초기화하여 소울을 돌려받을 수 있으니* 다양한 방식으로 시험해보자!,,
,13,영웅 업그레이드,O,O,,컷씬 진행,FALSE,,왼쪽,행복,케이,케이,좋아! 이 정도면 어떻게 성장해 나갈지 감을 잡은 것 같아!,이제 성기사 아저씨를 제대로 상대해 보자구!,
