순번,내용,일시 정지 여부,대사 여부,상세,진행 조건,클릭 외 조건,Column 15,위치,표정,인물,스프라이트,대사 1,대사 2,대사 3
1,용병 모집,X,X,전투 입장 후 1초 정도 대기하여 자연스러운 연출 전달,1초 대기,TRUE,대기,,,,,,,
2,용병 모집,O,O,,컷씬 진행,FALSE,,왼쪽,행복,케이,케이,드디어 첫 전투다!,가슴이 두근거리는데?,
3,용병 모집,O,O,,컷씬 진행,FALSE,,왼쪽,일반,케이,케이,하지만 내가 아무리 짱 쎄다고 해도,공주가 되어서 혼자 전투를 치를 순 없지.,
4,용병 모집,O,O,,컷씬 진행,FALSE,,왼쪽,비장,케이,케이,모집이 시작되면 *지원한 용병 중 하나를 골라 전투에 사용할 용병으로 모집할 수 있어.*,검사가 딴마음 먹기 전에 얼른 용병으로 모집하자!,
5,용병 모집,X,X,"용병 모집 화면에서 검사 이력서를 강조, 나머지는 어둡게 되며 선택 X (검사, 도적, 엘프 궁수 순으로 모집 등장 고정)",검사 용병 모집,FALSE,,,,,,,,
6,용병 고용,O,O,,컷씬 진행,FALSE,,왼쪽,일반,케이,케이,이제 검사는 정식으로 우리 용병단의 일원이야!,"신병, 준비는 됐어?",
7,용병 고용,O,O,,컷씬 진행,FALSE,,왼쪽,,검사,검사,제대로 검을 휘두르는 건 너무 오랜만이지만…,전 항상 준비되어 있었습니다!,
8,용병 고용,O,O,,컷씬 진행,FALSE,,왼쪽,행복,케이,케이,좋아! 바로 그 자세야!,이제야 좀 모험가 티가 나는걸!,
9,용병 고용,O,O,,컷씬 진행,FALSE,,왼쪽,일반,케이,케이,*충분한 골드가 모이면 검사를 고용*해 전투에 출전시키자.,*골드는 우리 요새에서 자동으로 생산*될 거야!,
10,용병 고용,X,X,"100 골드가 모일 때까지 대기, 조작 X",100 골드 이상 확보,TRUE,골드 확보,,,,,,,
11,용병 고용,O,X,"검사 아이콘 강조, 대상을 가리키는 화살표 추가",검사 고용,FALSE,,,,,,,,
12,요새 레벨 업,O,O,,컷씬 진행,FALSE,,왼쪽,행복,케이,케이,"가라, 나의 충성스러운 용병이여!",이 케이 공주를 위해 목숨을 바쳐라!,
13,요새 레벨 업,X,X,"적 도적 유닛 등장 시작, 적 유닛에게로 시점 고정",10초 대기 (검사가 죽기 직전까지 전투가 진행되어야 함),TRUE,대기,,,,,,,
14,요새 레벨 업,O,O,,컷씬 진행,FALSE,,왼쪽,일반,케이,케이,…역시 용병 하나로는 전투를 이길 수 없겠지!,,
15,요새 레벨 업,O,O,,컷씬 진행,FALSE,,왼쪽,비장,케이,케이,더 많은 골드! 더 많은 용병이 필요해!,*요새의 레벨을 올려 수익을 늘리자!*,
16,요새 레벨 업,X,X,"50 골드가 모일 때까지 대기, 조작 X",50 골드 이상 확보 ,TRUE,골드 확보,,,,,,,
17,요새 레벨 업,O,X,"요새 레벨 업 버튼 강조, 대상을 가리키는 화살표 추가",2 레벨로 요새 레벨 업,FALSE,,,,,,,,
18,영웅 조종,O,O,,컷씬 진행,FALSE,,왼쪽,일반,케이,케이,앞으로 더 많고 강한 적과 상대하게 될 테니,*돈이 모이는 대로 요새를 레벨 업시켜 생명력과 수익을 높이자!*,
19,영웅 조종,O,O,,컷씬 진행,FALSE,,왼쪽,,검사,검사,그치만 지금은 돈이 문제가 아니라 제가 죽는다구요!,,
20,영웅 조종,O,O,,컷씬 진행,FALSE,,왼쪽,행복,케이,케이,"후후, 이 몸이 직접 나설 때인가!",나는 *이동하지 않을 때 자동으로 적을 공격*할 수 있어.,우아한 나의 검술을 잘 봐두라구!
21,영웅 조종,X,X,"영웅 조종 가능, 용병 고용 가능, 영웅 이동 버튼 강조, 버튼을 가리키는 화살표 추가 (만약을 위해 플레이어 요새는 무적)",웨이브 2의 용병 모집 화면 활성화,TRUE,오브젝트 활성화,,,,,,,
22,웨이브,O,O,,컷씬 진행,FALSE,,왼쪽,행복,케이,케이,두 번째 웨이브가 시작됐어!,,
23,웨이브,O,O,,컷씬 진행,FALSE,,왼쪽,일반,케이,케이,*전투 중 일정 시간이 지나거나 적 요새에 충분한 피해를 주면 다음 웨이브로 넘어가게 돼.*,,
24,웨이브,O,O,,컷씬 진행,FALSE,,왼쪽,비장,케이,케이,*웨이브는 총 세 개*로 나뉘며 *다음 웨이브로 넘어갈 때마다 더 비싸고 강력한 유닛을 모집*할 수 있어.,하지만 *적들도 더 강해지니* 긴장을 풀어선 안되겠지!,
25,웨이브,O,O,,컷씬 진행,FALSE,,왼쪽,행복,케이,케이,*적의 요새를 파괴하면 우리의 승리야!*,"*우리의 요새가 파괴되거나 너무 많은 시간을 소모하면 전투에서 패배*하니,",그 전까지 적의 요새를 향해 계속해서 나아가자!
26,보스,X,X,"영웅 조종 가능, 용병 고용 가능 (만약을 위해 플레이어 요새는 무적)",보스 등장,FALSE,,,,,,,,
